,m,c,r2
EC(1),-1129.6312266766843,982.0227407049018,0.9931462000330159
EC(2),-1188.3395440495883,1033.4128931561122,0.9942818298231936
EC(3),-1314.092362817871,1134.5228503541323,0.9780915581956768
EC(4),-1281.918172674476,1131.1318689638022,0.9795249948127294
EC(5),-1190.7151690747241,1052.386997396609,0.996854693471147
EC(6),-1339.7561353122264,1212.3629559564556,0.9894568128780827
EC(7),-1126.7915028741031,974.494465335471,0.9819098127031376
EC(8),-369.0841680495004,379.0588652415428,0.9646530243243202
EC(9),-860.1406769877544,738.0926058608691,0.9871464231664117
EC(10),-1009.874917709019,883.7276717138466,0.9992525644067912
EC(11),-396.6444828836858,386.59651891613663,0.9810343097879911
EC(12),-372.4311734157251,382.5934247325215,0.9720069596117583
